id,x,y,z,building,floor,type
1,0,0,0,10,1,2
2,6,0,0,10,1,1
3,6,19.4,0,10,1,1
4,30.9,19.4,0,10,1,1
5,30.9,-4,0,10,1,1
6,54.9,19.4,0,10,1,1
7,54.9,-14,0,10,1,1
8,63.099999999999994,-14,0,10,1,1
9,61.3,19.4,0,10,1,1
10,70.2,19.4,0,10,1,1
11,70.2,23.9,0,10,1,1
12,61.3,29.5,0,10,1,1
13,61.3,34.599999999999994,0,10,1,1
14,64.39999999999999,34.599999999999994,0,10,1,1
15,61.3,60.99999999999999,0,10,1,1
16,61.3,82,0,10,1,1
17,61.3,92.4,0,10,1,1
18,65.89999999999999,92.4,0,10,1,1
19,65.9,96.7,0,10,1,1
20,56.29999999999999,92.4,0,10,1,1
21,56.3,105.4,0,10,1,1
22,6,14.299999999999999,0,10,1,1
23,12.7,14.3,0,10,1,1
24,30.9,13.299999999999999,0,10,0,1
25,39.2,13.3,0,10,1,1
26,24.5,14.3,5,10,2,1
27,,,,,,
28,,,,,,
29,,,,,,
30,30.9,-23.4,5,10,2,1
31,,,,,,
32,,,,,,
33,8.2,-14,5,10,2,1
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,70.2,4.5,5,10,2,1
40,,,,,,
41,,,,,,
42,61.3,26.4,5,10,2,1
43,61.3,36.8,5,10,2,1
44,65.89999999999999,92.4,5,10,2,1
45,65.9,96.7,5,10,2,1
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
