id,name,from,to,floor,weight,length,type
1,,1,2,1,1,20.6,1
2,,2,3,1,1,53.5,1
3,,3,4,1,1,21.78829961240665,2
4,,4,5,1,1,54.93641779366398,1
5,,6,7,1,1,26.5,1
6,,7,8,1,1,43.65203317143429,1
7,,8,9,1,1,26.41893260523597,1
8,,9,10,1,1,14.920120642943871,2
9,,9,11,1,1,11.537764081484765,1
10,,11,12,1,1,62.086874619358966,2
11,,12,13,1,1,54.4,1
12,,13,14,1,1,3.400000000000001,1
13,,14,15,1,1,1.9000000000000041,1
14,,10,16,1,1,11.459493880621428,1
15,,10,17,1,1,11.66233252827238,1
16,,17,18,1,1,4.390899680020035,1
17,,18,19,1,1,28.264465323087222,1
18,,19,20,1,1,31.976553910638962,1
19,,20,21,1,1,4.3908996800200315,1
20,,19,22,1,1,20.188362984650343,1
21,,22,23,1,1,3.1304951684997024,1
22,,23,24,1,1,23.546761985462037,2
23,,12,21,1,3,33.62023200395857,1
24,,6,25,1,1,34.44433213809829,1
25,,25,26,1,1,89.4356777780071,1
26,,26,15,1,1,49.73614143151592,1
27,,11,26,1,1,47.95560908786716,1
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
