source,target,weight
Entrance,Cross_by_Entrance,5
Cross_by_Entrance,Entrance_star_1F,2
Entrance_star_1F,Entrance_star_2F,30
Cross_by_Entrance,101H,5
101H,101G,2
101G,101F,2
101F,101E,2
101E,101D,2
101D,101C,2
101C,101B,2
101B,101A,2
101A,1F_Printer,10
1F_Printer,1F_Elevator,10
1F_Printer,Info_core,5
Info_core,Cross_by_BackEntrance,20
Cross_by_BackEntrance,BackEntrance_Escalator_1F,5
BackEntrance_Escalator_1F,BackEntrance,8
,,
Cross_by_Entrance_star_2F,Entrance_star_2F,2
Cross_by_Entrance_star_2F,10210,2
10215,10204,4
10214,10215,3
10213,10205,2
10212,10207,2
10211,10208,1
10210,10209,1
10209,10211,4
10208,10212,4
10207,10206,4
10206,10213,3
10205,10214,3
10204,10203,5
10203,10202,5
10202,BackEntrance_Escalator_2F,5
BackEntrance_Escalator_2F,10201,5
BackEntrance_Escalator_1F,BackEntrance_Escalator_2F,15
1F_Elevator,2F_Elevator,15
2F_Elevator,10204,10
,,
