id,x,y,z
Entrance,0,0,1
Cross_by_Entrance,5,0,1
Entrance_star_1F,7,0,1
101H,5,5,1
101G,5,10,1
101F,5,12,1
101E,5,14,1
101D,5,16,1
101C,5,18,1
101B,5,20,1
101A,5,22,1
1F_Printer,5,32,1
1F_Elevator,15,32,1
Info_core,0,32,1
Cross_by_BackEntrance,-20,32,1
BackEntrance_Escalator_1F,-20,37,1
BackEntrance,-20,45,1
,,,
Entrance_star_2F,7,0,2
Cross_by_Entrance_star_2F,5,0,2
10215,5,28,2
10214,5,23,2
10213,5,18,2
10212,5,12,2
10211,5,7,2
10210,5,2,2
10209,5,3,2
10208,5,8,2
10207,5,14,2
10206,5,20,2
10205,5,26,2
10204,5,32,2
10203,0,35,2
10202,-5,35,2
10201,-15,35,2
BackEntrance_Escalator_2F,-10,35,2
2F_Elevator,15,32,2
